Title,Genre,Year,Certification,Rating,Director,Actors
Gen V,Action,2023,TV-MA,8.0,,"Jaz Sinclair,Chance Perdomo,Lizze Broadway,Maddie Phillip"
Loki,Action,2021,TV-14,8.2,,"Tom Hiddleston,Owen Wilson,Sophia Di Martino,Gugu Mbatha-Ra"
Ahsoka,Action,2023,TV-14,7.7,,"Rosario Dawson,David Tennant,Natasha Liu Bordizzo,Mary Elizabeth Winstea"
The Creator,Action,2023,PG-13,7.1,Gareth Edwards,"John David Washington,Madeleine Yuna Voyles,Gemma Chan,Allison Janne"
The Continental: From the World of John Wick,Action,2023,TV-MA,7.3,,"Mel Gibson,Colin Woodell,Mishel Prada,Hubert Point-Du Jou"
The Wheel of Time,Action,2021,TV-14,7.1,,"Rosamund Pike,Daniel Henney,Madeleine Madden,Zoë Robin"
Lupin,Action,2021,TV-MA,7.5,,"Omar Sy,Ludivine Sagnier,Soufiane Guerrab,Etan Simo"
Mission: Impossible - Dead Reckoning Part One,Action,2023,PG-13,7.8,Christopher McQuarrie,"Tom Cruise,Hayley Atwell,Ving Rhames,Simon Peg"
The Equalizer 3,Action,2023,R,6.9,Antoine Fuqua,"Denzel Washington,Dakota Fanning,Eugenio Mastrandrea,David Denma"
Our Flag Means Death,Action,2022,TV-MA,7.8,,"Rhys Darby,Joel Fry,Samson Kayo,Matthew Mahe"
One Piece,Action,2023,TV-14,8.4,,"Iñaki Godoy,Emily Rudd,Mackenyu,Vincent Rega"
The Boys,Action,2019,TV-MA,8.7,,"Karl Urban,Jack Quaid,Antony Starr,Erin Moriart"
Game of Thrones,Action,2011,TV-MA,9.2,,"Emilia Clarke,Peter Dinklage,Kit Harington,Lena Heade"
Expend4bles,Action,2023,R,4.9,Scott Waugh,"Jason Statham,50 Cent,Megan Fox,Dolph Lundgre"
Ballerina,Action,2023,TV-MA,6.2,Chung-Hyun Lee,"Kefas Brand,Kim Ji-hoon,Jeon Jong-seo,Harrison X"
One Piece,Action,1999,TV-14,8.9,,"Mayumi Tanaka,Akemi Okamura,Laurent Vernin,Tony Bec"
Jujutsu Kaisen,Action,2020,TV-MA,8.5,,"Junya Enoki,Yûichi Nakamura,Adam McArthur,Yuma Uchid"
Khufiya,Action,2023,TV-MA,6.0,Vishal Bhardwaj,"Tabu,Ali Fazal,Wamiqa Gabbi,Azmeri Haque Badho"
Gran Turismo,Action,2023,PG-13,7.2,Neill Blomkamp,"David Harbour,Orlando Bloom,Archie Madekwe,Takehiro Hir"
Desperation Road,Action,2023,R,5.7,Nadine Crocker,"Willa Fitzgerald,Mel Gibson,Ryan Hurst,Garrett Hedlun"
NCIS,Action,2003,TV-14,7.8,,"David McCallum,Sean Murray,Mark Harmon,Brian Dietze"
Meg 2: The Trench,Action,2023,PG-13,5.1,Ben Wheatley,"Jason Statham,Jing Wu,Shuya Sophia Cai,Cliff Curti"
The Rookie,Action,2018,TV-14,8.0,,"Nathan Fillion,Alyssa Diaz,Richard T. Jones,Melissa O'Nei"
